foldername|placemark|reportid|reportdesc|county|reportdate|lng|lat
January 1988|January 1988|Report 2774|Large bipedal animal observes couple parking behind school gymnasium|Greene County|1988-01-10|-90.51056|36.12083
July 2001|July 2001|Report 2931|Daylight sighting outside rural home in small community of Herbine, south of Rison|Cleveland County|2001-07-29|-92.03389|33.82111
June 1970|June 1970|Report 2957|Youths riding in back of pick-up have close observation of large biped crossing road|Madison County|1970-06-15|-93.83426|35.9975
November 1998|November 1998|Report 3226|Man finds 3-toed prints &amp; wife has sighting|Pope County|1998-11-15|-93.15208|35.42097
April 1984|April 1984|Report 3519|Man working in wooded area sees bipedal animal standing on railroad tracks|Clark County|1984-04-17|-93.20389|33.88861
January 2000|January 2000|Report 4090|Sighting in wheat field near Fouke|Miller County|2000-01-15|-93.886|33.26666
1977|1977|Report 4093|Daytime sighting between Pocahontas and Imboden|Randolph County|1977-09-25|-91.1125|36.19791
October 1994|October 1994|Report 4094|Late night encounter near Benton|Saline County|1994-10-15|-92.58667|34.56444
March 1997|March 1997|Report 5228|Motorist has nighttime sighting of bipedal animal at roadside|Fulton County|1997-03-14|-91.87|36.37111
October 2002|October 2002|Report 5316|Daytime sighting by hiker near Spring Creek.|Washington County|2002-10-10|-94.23417|36.20611
1998|1998|Report 5607|Driver narrowly misses creature darting across mountainous stretch of highway|Polk County|1998-07-07|-94.45417|34.70694
October 1981|October 1981|Report 6178|Motorist crossing a bridge sees sasquatch digging in the dirt below|Benton County|2004-04-04|-94.44694|36.18333
November 1999|November 1999|Report 6932|Duck hunter observes apelike creature across White River|Independence County|1999-11-15|-91.45889|35.64861
1994|1994|Report 7045|Man riding 4-wheeler observes a bigfoot reaching into a tree|Benton County|2003-10-31|-93.94583|36.34167
1961|1961|Report 7234|Daylight sighting by two sisters near their farm in the early 1960s|Lee County|1961-10-15|-91.08056|34.88111
August 2003|August 2003|Report 7815|Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree|Pope County|2003-08-12|-93.13361|35.27833
February 2000|February 2000|Report 7971|Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke.|Miller County|2004-02-19|-93.9475|33.18639
March 2004|March 2004|Report 8420|Early morning motorist driving to work sees bipedal animal running through field|Saline County|2004-04-03|-92.40778|34.53167
July 1988|July 1988|Report 8527|Man has extraordinary, close encounter while fishing near Huntington|Sebastian County|2004-04-23|-94.356|35.09306
May 2001|May 2001|Report 8913|Late night sighting by motorist|Desha County|2001-05-15|-91.27056|33.7985
July 1994|July 1994|Report 9507|Roadside sighting near Eureka Springs|Carroll County|1994-07-16|-93.74|36.41
July 1986|July 1986|Report 9753|Animal peers into youngster's bedroom window|Jackson County|1986-07-15|-91.51306|35.44944
November 2002|November 2002|Report 10913|Squirrel Hunter has encounter south of El Dorado|Union County|2002-11-05|-92.61493|33.14663
1975|1975|Report 10919|Youth has sighting from his backyard on Air Force Base|Pulaski County|1975-09-15|-92.12|34.87
1981|1981|Report 11430|Two young men have a sighting while spelunking near Huntsville.|Madison County|1981-07-15|-93.75723|36.31519
May 2005|May 2005|Report 11632|4' - 5.5' upright animal seen crossing dead-end road.|Union County|2005-05-07|-92.64066|33.26462
December 2005|December 2005|Report 13211|Early morning sighting by resident along Highway 7 near Bismarck.|Hot Spring County|2005-12-04|-93.162|34.285
June 1986|June 1986|Report 13718|Man tells of two-legged animal crossing road in front of his car east of Paris|Logan County|1986-06-01|-93.75313|35.34572
June 1980|June 1980|Report 13983|Possible sighting by fisherman at Blue Lake.|Crittenden County|1980-06-15|-90.32|35.0194
October 2004|October 2004|Report 16696|Dusk sighting and vocalizations around property near Cove|Polk County|2004-10-15|-94.3745|34.369
September 1992|September 1992|Report 24254|Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton|Garland County|1992-06-14|-93.07654|34.44652
November 1996|November 1996|Report 26100|Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River|Miller County|1996-11-15|-93.89135|33.14759
September 1985|September 1985|Report 27482|Man recalls incident while camping as a teenager near Cedarville|Crawford County|2010-03-23|-94.229|35.36335
January 2004|January 2004|Report 27948|Motorist has nighttime sighting on a mountain road north of Flippin|Marion County|2004-01-14|-92.63179|36.29871
November 2010|November 2010|Report 29417|Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area|Saline County|2010-11-18|-92.75093|34.73147
July 2012|July 2012|Report 36178|Motorist has nighttime sighting near Lake Village|Chicot County|2012-07-29|-91.22115|33.26855
September 2012|September 2012|Report 36498|Pre-dawn sighting on a rural road near Fouke|Miller County|2012-09-13|-93.98622|33.33171
December 2012|December 2012|Report 38015|Motorist observes three bigfoots crossing before him at night east of Harrison|Marion County|2012-12-04|-92.52505|36.14065
January 2008|January 2008|Report 40020|Man has a close daytime encounter with a probable Bigfoot family outside Hardy|Fulton County|2008-01-15|-91.52025|36.33205
December 2012|December 2012|Report 40101|Motorist views large bipedal animal squatting at night beside I-40 near Marche.|Pulaski County|2012-12-07|-92.3575|34.86535
February 2009|February 2009|Report 41827|Motorist has close encounter on Mallard Point Road near Lake Norfork|Baxter County|2009-02-15|-92.30614|36.38605
November 2011|November 2011|Report 46380|Mother &amp; daughter have unusual, close-up encounter on the road at night near Newark|Independence County|2011-11-24|-91.46231|35.703
July 1977|July 1977|Report 440|A daylight sighting report by an ex soldier|Cochise County|2000-10-10|-110.1835|31.99003
December 2000|December 2000|Report 3482|Nighttime sighting by motorists on Hwy 87 in Jacks Canyon, 30 miles south of Winslow|Coconino County|2000-12-24|-110.8403|34.90831
June 2001|June 2001|Report 6552|Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument|Apache County|2001-06-17|-109.4276|36.09081
December 1983|December 1983|Report 7495|Night time road crossing near Strawberry, Arizona|Gila County|1983-12-30|-111.5|34.4
September 1993|September 1993|Report 7566|Bow hunter has daylight sighting near Alpine.|Greenlee County|1993-09-04|-109.3191|33.6247
November 1981|November 1981|Report 8685|Morning sighting in the Lukachukai Mountains of northeast Arizona|Apache County|1981-11-07|-109.29|36.54165
July 1990|July 1990|Report 11514|Evening sighting by motorists north of Flagstaff.|Coconino County|1990-07-01|-111.938|35.656
October 2006|October 2006|Report 16580|Afternoon road-crossing sighting by motorist on RT 61 near Concho|Apache County|2006-10-26|-109.64|34.325
January 2007|January 2007|Report 17448|A close range road crossing on a foggy morning near Safford|Graham County|2007-01-22|-109.675|32.815
February 2007|February 2007|Report 17804|Late afternoon road crossing sighting by motorist west of Springerville.|Apache County|2007-02-01|-109.44|34.6
1990's|1990's|Report 18723|Late night multi-witness, road-crossing sighting near Bartlett Lake.|Maricopa County|1995-07-15|-111.69|33.85
October 2006|October 2006|Report 19339|Late afternoon road crossing near Cibecue (Fort Apache Reservation)|Navajo County|2006-10-15|-110.4298|33.99989
April 2004|April 2004|Report 23136|Early morning roadside sighting of tall gray creature near Buckeye|Maricopa County|2008-07-29|-112.6432|33.3785
November 2006|November 2006|Report 23358|Late night road side sighting near Tonto Creek|Gila County|2006-11-17|-111.1367|34.28939
December 1973|December 1973|Report 24405|Man tells of his scary encounter while traveling Route 66 in a snow storm|Coconino County|1973-12-20|-111.8634|35.241
March 2010|March 2010|Report 27495|Afternoon sighting by a commuter south of Show Low|Navajo County|2010-03-24|-110.165|34.1
August 1981|August 1981|Report 28946|Army Vet recalls daylight sighting near Prescott|Yavapai County|1981-08-15|-112.5421|34.55154
May 2011|May 2011|Report 29358|Brief daylight sighting within the city limits of Show Low|Navajo County|2011-05-31|-110|34
August 1992|August 1992|Report 42364|Memory told of a daylight sighting and parallel chase in the Gila River bottoms while riding horseback|Maricopa County|1992-08-15|-112.73|32.95
April 2014|April 2014|Report 47536|Evening sighting from a fishing boat on Fools Hollow Lake near Show Low.|Navajo County|2014-04-22|-110.11|34.285
October 1988|October 1988|Report 83|Early dawn sighting by hunters near Bass Lake|Madera County|1988-10-01|-119.6436|37.35944
June 2000|June 2000|Report 147|Sound reports from resident in South Lake Tahoe|El Dorado County|2000-06-15|-119.9833|38.93333
September 2000|September 2000|Report 353|Night sighting by two motorists near Lake Tahoe|El Dorado County|2000-09-23|-120.0914|38.9575
1957 or 58|1957 or 58|Report 528|Three children have daytime sighting near Eureka|Humboldt County|1957-06-01|-124.1625|40.80222
November 1997|November 1997|Report 615|Sighting by woman in Eagle Meadow, above Strawberry|Tuolumne County|1997-11-15|-119.836|38.28085
November 1968 or 69|November 1968 or 69|Report 849|Girl has daytime sighting near Payne's Creek|Tehama County|1968-11-01|-121.9139|40.33556
December 1997|December 1997|Report 865|Two 4-wheelers have night sighting above Huntington Lake|Fresno County|1997-12-18|-119.2119|37.23389
June 1994,1995|June 1994,1995|Report 868|Campers have sighting above Pinecrest|Tuolumne County|1994-06-01|-119.9065|38.17677
July 1974|July 1974|Report 875|Man has sighting near Alturas|Modoc County|1974-06-01|-120.6781|41.41
July 2000|July 2000|Report 913|Hikers see creature in Desolation Wilderness|El Dorado County|2000-07-01|-120.205|38.93
April 1996|April 1996|Report 919|Car passenger has nighttime sighting near Lake Tahoe|El Dorado County|1996-04-10|-119.9833|38.93333
April 1993|April 1993|Report 1055|Two hikers have morning sighting in the Desolation Wilderness|El Dorado County|1993-04-01|-120.1358|38.86
October 1995|October 1995|Report 1068|Two fisherman have daytime sighting above Huntington Lake|Fresno County|1995-10-29|-118.9975|37.35861
August 1978/79|August 1978/79|Report 1090|Girl has daytime sighting near Twain Harte|Tuolumne County|1978-08-01|-120.1877|38.06615
August 1955|August 1955|Report 1229|Boy Scout has late night sighting above Porterville|Tulare County|1955-08-01|-118.8489|36.10222
July 1978|July 1978|Report 1301|Three witnesses have daytime sighting near Strawberry|Tuolumne County|1978-07-30|-119.9811|38.19753
March 1999|March 1999|Report 1391|Man has late night sighting north of Redding|Siskiyou County|1999-03-04|-122.4306|41.45833
1966|1966|Report 1473|Family has early evening sighting near Weed|Siskiyou County|1966-09-01|-122.3839|41.42806
July 1977|July 1977|Report 1510|Brothers have early evening sighting near Lee Vining|Mono County|1977-07-01|-119.2642|38.04806
1978 or 79|1978 or 79|Report 1653|Husband and wife have late night sighting on Highway 299|Shasta County|1978-10-01|-122.7325|40.63556
October 1983|October 1983|Report 1919|Friends have night sighting above Sonora|Tuolumne County|1983-10-25|-120.2339|38.03898
May 1987-88|May 1987-88|Report 2794|Woman has early evening sighting near Kennedy Meadows|Tulare County|1987-05-31|-118.1303|36.05278
June 1993|June 1993|Report 2886|A Wildlife Biologist observes a large upright walking animal near Pinecrest|Tuolumne County|1993-06-15|-119.8633|38.26661
August 1944|August 1944|Report 2896|Sister and brother see 3 creatures near Yreka|Siskiyou County|1944-08-01|-122.9958|41.82417
July 2000|July 2000|Report 2928|Eighteen campers find hut; videotape distressed bigfoot walking down mountain ridge|Siskiyou County|2000-07-20|-123.1317|41.3657
1991|1991|Report 3169|Man sees creature crossing road near Petaluma|Sonoma County|1991-01-01|-122.5833|38.25583
June 1978|June 1978|Report 3421|Family has unusual experience outside Grass Valley|Nevada County|1978-06-01|-120.8908|39.21278
August 1998|August 1998|Report 3672|Late night sighting by motorists travelling through Tioga Pass (Yosemite), a few miles beyond Crane Flat Campground|Tuolumne County|1998-08-01|-119.2569|37.91111
July 1993|July 1993|Report 4446|Daytime sighting by hiker on La Jolla Indian Reservation.|San Diego County|1993-07-04|-116.8625|33.2675
June 2001|June 2001|Report 4630|Afternoon sighting by hiker outside Dunsmuir|Siskiyou County|2001-06-15|-122.2703|41.21361
1956|1956|Report 4946|Teenager has daytime sighting near Truckee|Nevada County|1956-10-01|-120.2653|39.3225
1994|1994|Report 6429|Woman recalls a nighttime sighting on Hwy. 299 near Burney|Shasta County|1994-09-15|-121.6156|40.92911
1987|1987|Report 6521|Woman hears late night scream and has close encounter near Laytonville|Mendocino County|1987-06-01|-123.4817|39.68833
July 2003|July 2003|Report 6639|Couple have night sighting near Lake Tahoe|El Dorado County|2003-07-20|-120.0133|38.85556
January 1983|January 1983|Report 6746|Man has sighting after massive landslide on Highway 50|El Dorado County|1983-01-01|-119.9833|38.93333
August 1963|August 1963|Report 6961|Teen has daytime sighting near Myers Flat|Humboldt County|1963-08-01|-123.8692|40.26639
July 1965|July 1965|Report 6963|Teens have unusual experience near Myers Flat|Humboldt County|1965-07-01|-123.8692|40.26639
April 93/95|April 93/95|Report 7334|Daytime sightings by Forest Service employee near Arroyo Seco|Monterey County|1993-04-01|-121.495|36.2485
August 1977|August 1977|Report 7555|Two Young Fishermen Have Mid-day Encounter at Lake Shasta|Shasta County|1977-08-01|-122.3775|40.8875
October 72-73|October 72-73|Report 7731|Hunting Partners Have Early Morning Roadway Sighting|Tehama County|1973-10-15|-122.1781|39.92778
January 2004|January 2004|Report 7804|Family has two late night sightings near Nevada City|Nevada County|2004-01-04|-121.0161|39.26361
September 1974|September 1974|Report 7860|Hunter has daytime sighting near Dos Rios|Mendocino County|1974-09-01|-123.4817|39.68833
August 1966|August 1966|Report 8059|Teenagers have sighting of two creatures near Albion|Mendocino County|1966-09-01|-123.7675|39.22361
September 1972|September 1972|Report 8487|Hiking boy has close encounter in High Sierra|Inyo County|1972-09-15|-118.972|37.5703
2003|2003|Report 8595|Man has early morning sighting near Sly Park|El Dorado County|2003-09-01|-120.5836|38.72139
July 1965|July 1965|Report 9202|Man remembers childhood daytime sighting along the Feather River|Sutter County|1965-07-01|-121.58|39.205
July 1992|July 1992|Report 9283|Early morning sighting by motorist along the Eel River|Humboldt County|1992-07-12|-124|40.465
October 2001|October 2001|Report 9296|Hunter has daytime sighting near Huntington Lake|Fresno County|2001-10-25|-119.2119|37.23389
May 2000|May 2000|Report 9357|Workers have daytime sighting on Tule River Indian Reservation|Tulare County|2000-05-01|-118.7402|36.0438
August 2004|August 2004|Report 9555|Retired Law Enforcement Officer Has Daytime Sighting|Nevada County|2004-08-16|-120.3275|39.31917
December 2003|December 2003|Report 10980|Man has late night sighting near Twain Harte|Tuolumne County|2003-12-24|-120.2434|38.0312
1998-2004|1998-2004|Report 11162|Family has sightings and encounters in Santa Cruz mountains|Santa Cruz County|2004-10-01|-121.7|37
1970  1990|1970  1990|Report 11496|Lady has two Northern California sightings, over a 20year period.|Shasta County|1997-07-15|-122.1667|40.75
October 1988|October 1988|Report 11576|Woman has close up night sighting in car lights on Highway 299|Humboldt County|1988-10-15|-123.55|40.85
2004|2004|Report 11656|Couple Has Early Evening Encounter Near Stumpy Meadow Reservoir|El Dorado County|2004-11-01|-120.6033|38.90333
June 1991|June 1991|Report 11897|Three young adults encounter large aggressive biped while fishing the San Joaquin River|Fresno County|1991-06-28|-120.201|36.7818
2001|2001|Report 11986|Daylight sighting by guide and two tourists at Lake Shasta Caverns|Shasta County|2001-03-15|-122.278|40.7974
April 1974|April 1974|Report 12247|Two teenage girls have daytime encounter on Big Sur Coast|Monterey County|1974-04-15|-121.2919|35.5565
June 1986|June 1986|Report 12292|Daylight sighting by hikers in Ventana Wilderness|Monterey County|1986-06-15|-121.7146|36.3779
March 1967|March 1967|Report 12294|Daylight sighting near Happy Camp|Siskiyou County|1967-03-10|-123.35|41.75
August 2005|August 2005|Report 12383|Hiking family has daytime encounter in Sierra|Mono County|2005-08-21|-119.5483|38.3068
September 1987|September 1987|Report 12649|Man recalls daytime sighting in a canyon outside Nevada City|Nevada County|1987-09-15|-121.0517|39.25396
January 1979|January 1979|Report 12917|Vehicle passenger's daylight sighting near Hiouchi|Del Norte County|1979-10-25|-123.85|41.65
September 2003|September 2003|Report 13419|Firefighter describes multiple-witness sighting during the Loma Fire|Trinity County|2003-09-15|-123.2718|40.7485
December 1993|December 1993|Report 13424|Trail bike rider describes being briefly chased at night near Happy Camp|Siskiyou County|1993-12-15|-123.35|41.75
1870|1870|Report 14338|Old newspaper article (Titusville Morning Herald - Pennsylvania) about sightings near Orestimba Creek in the Diablo (Devil) Mountains|Stanislaus County|1869-11-10|-121.4871|37.39555
September 1993|September 1993|Report 14407|Daylight sighting by camper 7-8 northwest of Independence Lake|Nevada County|1993-09-05|-120.3784|39.50435
August 1982|August 1982|Report 14642|Evening road crossing sighting near Lewiston (Hwy 299)|Trinity County|1982-08-09|-122.8055|40.6789
August 2005|August 2005|Report 15821|Backpacker's moonlit encounter near the trail from Wright's Lake to Enchanted Pools|El Dorado County|2005-08-20|-120.2201|38.86165
June 2006|June 2006|Report 15855|Daylight sighting by motorist near Laurel Canyon in the Mammoth Lakes area|Mono County|2006-06-17|-118.9166|37.58325
October 2006|October 2006|Report 16342|Possible sighting by motorist beside Highway 101 between Orick and Trinidad|Humboldt County|2006-10-21|-124.0687|41.21385
June 1991|June 1991|Report 18298|Man collecting pine nuts retreats from intimidation approach, above French Gulch near Lake Shasta|Shasta County|2007-04-18|-122.6667|40.7333
October 1980|October 1980|Report 20197|Nighttime sighting by motorist near Mt. Madonna Park in the Santa Cruz Mountains|Santa Cruz County|1980-10-11|-121.7138|38.4906
August 2005|August 2005|Report 21354|Multi-witness road-crossing sighting on Hwy 96 outside Happy Camp|Siskiyou County|2007-09-11|-123.1668|41.8333
May 1980|May 1980|Report 21674|Man describes incident in teen years|Los Angeles County|2007-10-10|-118.4333|34.6167
August 1998|August 1998|Report 22434|Backpacker sighting off the PCT in the Marble Mountains Wilderness|Siskiyou County|1998-08-03|-123.056|41.28996
December 2007|December 2007|Report 22500|Paranormal investigator describes encounter near Covelo|Mendocino County|2007-12-15|-123.2393|39.83929
May 1991|May 1991|Report 23768|Brief, blurry video footage of a possible sasquatch at Mono Lake|Mono County|2008-07-09|-119|37.9333
July 2008|July 2008|Report 24146|Man Has Face to Face Encounter Outside of Willits|Mendocino County|2008-07-08|-123.3899|39.51489
August 1993|August 1993|Report 24574|Man remembers seeing an animal move through a ravine near Yosemite|Tuolumne County|1993-08-13|-119.7853|38.33115
August 1964|August 1964|Report 24648|Man retells his close, visual encounter at dawn on Pine Mountain as a young deer hunter|Ventura County|2008-09-14|-119.2916|34.625
May 1979|May 1979|Report 24936|Man remembers observing a large creature in a desert setting as he left his residence north of Palm Springs|Riverside County|2008-12-01|-116.5333|33.95002
August 2007|August 2007|Report 24938|Daylight sighting by backpacker near Pacific Crest Trail west of Independence observes two creatures during the afternoon on the PCT|Tulare County|2008-10-27|-118.375|36.70835
August 1962|August 1962|Report 25009|Youngsters encounter large, grey creature in a sugar beet field|Stanislaus County|1962-08-14|-121.07|37.475
September 2007|September 2007|Report 25260|Nighttime sighting (in headlights) by law enforcement officer on patrol near Cloverdale|Sonoma County|2007-09-08|-123.0585|38.83996
December 1975-76|December 1975-76|Report 25266|Two men recall a nighttime face to face encounter on lonely Hwy. 395|Inyo County|2009-01-12|-118.125|36.79165
April 1982|April 1982|Report 25444|High school teacher recalls a nighttime sighting while camping in the Los Padres National Forest|Santa Barbara County|1982-04-15|-119.9254|34.73389
June 2009|June 2009|Report 26116|Man has close encounter near Oregon border|Siskiyou County|2009-06-03|-123.1749|41.98645
July 2009|July 2009|Report 26258|Nightime sighting by a couple along a main highway between South Lake Tahoe and Placerville|El Dorado County|2009-07-15|-120.2083|38.79998
